retailer-secret,Secrets Manager secret (wanthat/{env}/retailer/aliexpress),admin-console PutSecretValue (write-only) + DescribeSecret,Read by retailer-linkgen + retailer-settlement only
aurora-master-secret,Secrets Manager secret (generated),Created by RDS/CDK,UNUSED at runtime (master password auth PAM-disabled since 0003; role-bootstrap uses IAM tokens); credential of record only
order-poll-heartbeat,EventBridge Scheduler rate(15 min) + dedicated invoke role,Time,Invokes retailer-settlement
fx-rates-schedule,EventBridge Scheduler rate(12 h) + dedicated invoke role,Time,Invokes fx-rates
notification-sender-dlq,SQS queue,Lambda async on-failure destination (after 2 retries; real payloads),Operator inspection/redrive
sns-sms,SNS SMS (direct-to-phone; no topics),otp-sender sns:Publish (NotResources on topic ARNs),SMS delivery; account MonthlySpendLimit cap (sandbox: $1)
eum-social-whatsapp,AWS End User Messaging Social (eu-central-1),otp-sender + notification-sender SendWhatsAppMessage (scoped phone-number-id/*),WhatsApp delivery via Meta
alarm-topic,SNS topic + email subscriptions,CloudWatch alarms,Emails to dennis@ + jonatan@wanthat.app
cw-alarms,CloudWatch alarms,"Per-Lambda errors (13 alarmed fns - db-migrator + role-bootstrap excluded by design), API 5xx (x3 surfaces), Aurora connections (80% of 50), SMS spend (80% of cap)",Publish to alarm topic
cw-dashboards,CloudWatch dashboards (wanthat-{env}; wanthat-{env}-edge),"Lambda errors/throttles/p95 (registry-ordered), API metrics, CloudFront/edge metrics",Operator view
log-groups,CloudWatch log groups (one explicit per Lambda; dev 1-mo/DESTROY; prod 6-mo/RETAIN),Lambda stdout/stderr (delivered out-of-band; works from the endpoint-free VPC),Post-mortems; three feed the funnel subscriptions
xray,AWS X-Ray (active tracing on all Lambdas),Trace segments,Service map + latency analysis
vpc,VPC (2 AZs; PRIVATE_ISOLATED subnets + route tables; NO NAT; no interface endpoints),Hosts Aurora + the 6 in-VPC Lambdas,No internet egress by construction
ddb-gateway-endpoint,VPC gateway endpoint (DynamoDB; free),In-VPC Lambdas' DynamoDB traffic,Routes to DynamoDB without internet
lambda-sg / aurora-sg,Security groups (cross-stack; descriptions immutable by team rule),Lambda SG -> Aurora SG :5432 is the only ingress path,Aurora unreachable from anywhere else
cloudfront-waf,WAF web ACL (us-east-1; CLOUDFRONT scope),CloudFront viewer requests,Rate-based + managed rules at the edge
cognito-waf,WAF web ACL (REGIONAL; associated to the customer pool),Unauthenticated Cognito ops (SignUp/InitiateAuth/RespondToAuthChallenge),Rate-based abuse control (replaced the phone-velocity table)
acm-cert,ACM certificate (us-east-1; DNS-validated),Route 53 validation records,TLS for CloudFront (wanthat.app / dev.wanthat.app)
route53,Route 53 public zone wanthat.app,CDK-managed record writes,CloudFront alias records (apex + dev); prod DnsStack: Zoho MX/SPF/DKIM/DMARC/verification
iam-execution-roles,IAM roles (one per Lambda; least-privilege per function),Assumed by lambda.amazonaws.com,"Carry each function's exact grants (incl. rds-db:connect per PG role: wallet_reader, ledger_reader, ledger_writer, audit_writer, wanthat_migrator, wanthat_master)"
github-oidc-deploy,GitHub OIDC provider + per-env assume-only deploy roles,GitHub Actions deploy.yml (merge->dev; release->prod behind the prod Environment gate; workflow_dispatch break-glass),cdk deploy --all with no static keys; drift-guard reconcile by stack prefix
cdk-bootstrap,CDKToolkit bootstrap stack (staging S3 bucket + CDK roles),cdk deploy asset publishing,Stores synthesized assets the deploy roles read
